pl_rade,pl_trandep,st_teff,pl_trandur,pl_orbper,st_rad,sy_dist,pl_bmasse,label_standardized,dataset_source
26.82,4357.2,5659.0,2.9381,3.166465862,0.704,264.78,12.0,FALSE POSITIVE,KEPLER
2.29,269.6,5659.0,5.9409,24.99324319,1.317,264.78,12.0,CONFIRMED,KEPLER
2.47,750.6,5659.0,3.1775,10.35533116,0.918,264.78,12.0,CONFIRMED,KEPLER
3.68,1442.4,5659.0,3.984,16.08518937,0.826,264.78,12.0,CONFIRMED,KEPLER
10.59,20715.0,5659.0,8.2284,235.9986399,0.657,264.78,12.0,CANDIDATE,KEPLER
2.56,1123.6,5659.0,2.7297,7.49018305,0.787,264.78,12.0,CONFIRMED,KEPLER
3.03,1572.6,5659.0,4.7865,36.2761238,0.787,264.78,12.0,CONFIRMED,KEPLER
2.32,812.4,5659.0,2.2641,17.46087931,0.787,264.78,12.0,CONFIRMED,KEPLER
1.94,1626.0,5659.0,4.685,56.0560754,0.491,264.78,12.0,CONFIRMED,KEPLER
11.38,22839.0,5659.0,5.0264,41.408316686,0.747,264.78,12.0,CONFIRMED,KEPLER
14.21,15179.0,5659.0,7.3051,39.74893077,0.964,264.78,12.0,CANDIDATE,KEPLER
2.47,908.1,5659.0,2.5242,5.715425977,0.826,264.78,12.0,CONFIRMED,KEPLER
8.2,1646.2,5659.0,11.3364,49.18394185,2.057,264.78,12.0,CONFIRMED,KEPLER
2.28,421.2,5659.0,1.611,20.0261412,0.826,264.78,12.0,CONFIRMED,KEPLER
19.02,5732.9,5659.0,2.594,13.61014819,0.903,264.78,12.0,CANDIDATE,KEPLER
2.66,1159.8,5659.0,2.743,10.44331991,0.802,264.78,12.0,FALSE POSITIVE,KEPLER
1.41,315.8,5659.0,1.8119,2.237489571,0.81,264.78,12.0,CONFIRMED,KEPLER
14.62,33004.0,5659.0,3.11058,5.851520671,0.806,264.78,12.0,FALSE POSITIVE,KEPLER
2.62,781.2,5659.0,2.1814,3.167893418,0.94,264.78,12.0,CONFIRMED,KEPLER
3.11,1154.0,5659.0,2.7251,4.311780262,0.927,264.78,12.0,CONFIRMED,KEPLER
2.69,840.9,5659.0,4.556,20.0504494,0.927,264.78,12.0,CONFIRMED,KEPLER
2.67,569.1,5659.0,1.6585,9.76734503,0.927,264.78,12.0,CONFIRMED,KEPLER
8.98,7430.5,5659.0,8.1405,119.0207044,1.062,264.78,12.0,CANDIDATE,KEPLER
7.78,1141.7,5659.0,15.284,190.3200468,2.057,264.78,12.0,CONFIRMED,KEPLER
4.37,1014.3,5659.0,1.8832,2.861159894,1.021,264.78,12.0,FALSE POSITIVE,KEPLER
3.91,1843.5,5659.0,3.9783,26.44439337,0.929,264.78,12.0,CONFIRMED,KEPLER
5.51,3644.3,5659.0,6.3994,51.53997972,0.929,264.78,12.0,CONFIRMED,KEPLER
2.43,702.3,5659.0,2.9003,5.902245782,0.929,264.78,12.0,CONFIRMED,KEPLER
1.86,391.6,5659.0,1.8876,2.382951591,0.929,264.78,12.0,CONFIRMED,KEPLER
